Day and Hour,Distribution of the number of trips
2021-12-24 02,706
2021-12-24 03,447
2021-12-24 04,342
2021-12-24 05,371
2021-12-24 06,395
2021-12-24 07,831
2021-12-24 08,1227
2021-12-24 09,1800
2021-12-24 10,2836
2021-12-24 11,3698
2021-12-24 12,4499
2021-12-24 13,4986
2021-12-24 14,5177
2021-12-24 15,5538
2021-12-24 16,5748
2021-12-24 17,5469
2021-12-24 18,5208
2021-12-24 19,4532
2021-12-24 20,3673
2021-12-24 21,3150
2021-12-24 22,2932
2021-12-24 23,2564
2021-12-25 00,2150
2021-12-25 01,1399
2021-12-25 02,873
2021-12-25 03,522
2021-12-25 04,283
2021-12-25 05,233
2021-12-25 06,282
2021-12-25 07,462
2021-12-25 08,634
2021-12-25 09,825
2021-12-25 10,1241
2021-12-25 11,1709
2021-12-25 12,2553
2021-12-25 13,2546
2021-12-25 14,2563
2021-12-25 15,2958
2021-12-25 16,3112
2021-12-25 17,3008
2021-12-25 18,2630
2021-12-25 19,2594
2021-12-25 20,2408
2021-12-25 21,2308
2021-12-25 22,2200
2021-12-25 23,2092
2021-12-26 00,1372
2021-12-26 01,895
2021-12-26 02,549
2021-12-26 03,307
2021-12-26 04,234
2021-12-26 05,220
2021-12-26 06,271
2021-12-26 07,475
2021-12-26 08,742
2021-12-26 09,1092
2021-12-26 10,1993
2021-12-26 11,2640
2021-12-26 12,3265
2021-12-26 13,3704
2021-12-26 14,3960
2021-12-26 15,4234
2021-12-26 16,4629
2021-12-26 17,4615
2021-12-26 18,4218
2021-12-26 19,3826
2021-12-26 20,3510
2021-12-26 21,2877
2021-12-26 22,2488
2021-12-26 23,2255
2021-12-27 00,1706
2021-12-27 01,1007
2021-12-27 02,612
2021-12-27 03,379
2021-12-27 04,204
2021-12-27 05,223
2021-12-27 06,489
2021-12-27 07,1006
2021-12-27 08,1629
2021-12-27 09,2289
2021-12-27 10,3026
2021-12-27 11,3766
2021-12-27 12,4242
2021-12-27 13,4565
2021-12-27 14,5133
2021-12-27 15,5487
2021-12-27 16,5762
2021-12-27 17,5150
2021-12-27 18,5092
2021-12-27 19,4636
2021-12-27 20,4458
2021-12-27 21,3344
2021-12-27 22,3051
2021-12-27 23,2551
2021-12-28 00,1796
2021-12-28 01,1027
2021-12-28 02,559
2021-12-28 03,324
2021-12-28 04,163
2021-12-28 05,186
2021-12-28 06,456
2021-12-28 07,1011
2021-12-28 08,1630
2021-12-28 09,2373
2021-12-28 10,3271
2021-12-28 11,4092
2021-12-28 12,4755
2021-12-28 13,5094
2021-12-28 14,5418
2021-12-28 15,5766
2021-12-28 16,6153
2021-12-28 17,5533
2021-12-28 18,5457
2021-12-28 19,5060
2021-12-28 20,4355
2021-12-28 21,3612
2021-12-28 22,3324
2021-12-28 23,2930
2021-12-29 00,2488
2021-12-29 01,1314
2021-12-29 02,681
2021-12-29 03,401
2021-12-29 04,297
2021-12-29 05,250
2021-12-29 06,462
2021-12-29 07,1083
2021-12-29 08,1548
2021-12-29 09,2409
2021-12-29 10,3177
2021-12-29 11,3955
2021-12-29 12,4410
2021-12-29 13,4840
2021-12-29 14,5250
2021-12-29 15,5682
2021-12-29 16,5863
2021-12-29 17,5572
2021-12-29 18,5495
2021-12-29 19,5158
2021-12-29 20,4514
2021-12-29 21,3609
2021-12-29 22,3277
2021-12-29 23,3244
2021-12-3 00,5852
2021-12-3 01,3988
2021-12-3 02,2293
2021-12-3 03,1394
2021-12-3 04,744
2021-12-3 05,583
2021-12-3 06,842
2021-12-3 07,2062
2021-12-3 08,4256
2021-12-3 09,5423
2021-12-3 10,5922
2021-12-3 11,6445
2021-12-3 12,6787
2021-12-3 13,6747
2021-12-3 14,7084
2021-12-3 15,7928
2021-12-3 16,8104
2021-12-3 17,7798
2021-12-3 18,8808
2021-12-3 19,9734
2021-12-3 20,9361
2021-12-3 21,7817
2021-12-3 22,7478
2021-12-3 23,7633
2021-12-30 00,2498
2021-12-30 01,1579
2021-12-30 02,947
2021-12-30 03,534
2021-12-30 04,353
2021-12-30 05,295
2021-12-30 06,466
2021-12-30 07,1066
2021-12-30 08,1563
2021-12-30 09,2364
2021-12-30 10,3219
2021-12-30 11,4104
2021-12-30 12,4413
2021-12-30 13,5209
2021-12-30 14,5490
2021-12-30 15,5803
2021-12-30 16,5888
2021-12-30 17,5764
2021-12-30 18,5614
2021-12-30 19,5095
2021-12-30 20,4676
2021-12-30 21,3679
2021-12-30 22,3369
2021-12-30 23,3475
2021-12-31 00,3003
2021-12-31 01,2155
2021-12-31 02,1450
2021-12-31 03,954
2021-12-31 04,663
2021-12-31 05,491
2021-12-31 06,358
2021-12-31 07,660
2021-12-31 08,1012
2021-12-31 09,1517
2021-12-31 10,2253
2021-12-31 11,3208
2021-12-31 12,3680
2021-12-31 13,4207
2021-12-31 14,4705
2021-12-31 15,5115
2021-12-31 16,5188
2021-12-31 17,4825
2021-12-31 18,4640
2021-12-31 19,4359
2021-12-31 20,4702
2021-12-31 21,4201
2021-12-31 22,3888
2021-12-31 23,3365
2021-12-4 00,7000
2021-12-4 01,5796
2021-12-4 02,4606
2021-12-4 03,3569
2021-12-4 04,2399
2021-12-4 05,1233
2021-12-4 06,602
2021-12-4 07,1067
2021-12-4 08,1801
2021-12-4 09,2794
2021-12-4 10,4402
2021-12-4 11,5878
2021-12-4 12,6817
2021-12-4 13,7554
2021-12-4 14,7618
2021-12-4 15,7751
2021-12-4 16,8402
2021-12-4 17,7902
2021-12-4 18,8099
2021-12-4 19,8364
2021-12-4 20,8514
2021-12-4 21,6985
2021-12-4 22,6472
2021-12-4 23,7113
2021-12-5 00,6654
2021-12-5 01,5832
2021-12-5 02,4885
2021-12-5 03,3804
2021-12-5 04,2717
2021-12-5 05,1442
2021-12-5 06,741
2021-12-5 07,1026
2021-12-5 08,1483
2021-12-5 09,2346
2021-12-5 10,3890
2021-12-5 11,5504
2021-12-5 12,6440
2021-12-5 13,6849
2021-12-5 14,6759
2021-12-5 15,6841
2021-12-5 16,7252
2021-12-5 17,6685
2021-12-5 18,6512
2021-12-5 19,6193
2021-12-5 20,5930
2021-12-5 21,5052
2021-12-5 22,4645
2021-12-5 23,4030
2021-12-6 00,2796
2021-12-6 01,1603
2021-12-6 02,806
2021-12-6 03,460
2021-12-6 04,400
2021-12-6 05,441
2021-12-6 06,894
2021-12-6 07,2081
2021-12-6 08,4004
2021-12-6 09,5092
2021-12-6 10,5296
2021-12-6 11,5657
2021-12-6 12,5892
2021-12-6 13,6406
2021-12-6 14,6511
2021-12-6 15,7321
2021-12-6 16,7540
2021-12-6 17,7070
2021-12-6 18,7858
2021-12-6 19,8031
2021-12-6 20,7768
2021-12-6 21,6929
2021-12-6 22,6015
2021-12-6 23,4993
2021-12-7 00,3597
2021-12-7 01,1965
2021-12-7 02,804
2021-12-7 03,400
2021-12-7 04,211
2021-12-7 05,256
2021-12-7 06,712
2021-12-7 07,2137
2021-12-7 08,4784
2021-12-7 09,6060
2021-12-7 10,6303
2021-12-7 11,6467
2021-12-7 12,6677
2021-12-7 13,6995
2021-12-7 14,7158
2021-12-7 15,7764
2021-12-7 16,8295
2021-12-7 17,7861
2021-12-7 18,8639
2021-12-7 19,9459
2021-12-7 20,8323
2021-12-7 21,7291
2021-12-7 22,7010
2021-12-7 23,6484
2021-12-8 00,4594
2021-12-8 01,2896
2021-12-8 02,1247
2021-12-8 03,619
2021-12-8 04,296
2021-12-8 05,332
2021-12-8 06,728
2021-12-8 07,2098
2021-12-8 08,4821
2021-12-8 09,6127
2021-12-8 10,6271
2021-12-8 11,6507
2021-12-8 12,6973
2021-12-8 13,7265
2021-12-8 14,7357
2021-12-8 15,7771
2021-12-8 16,8025
2021-12-8 17,7502
2021-12-8 18,8586
2021-12-8 19,9257
2021-12-8 20,9118
2021-12-8 21,8173
2021-12-8 22,7448
2021-12-8 23,6916
2021-12-9 00,5329
2021-12-9 01,3169
2021-12-9 02,1539
2021-12-9 03,838
2021-12-9 04,421
2021-12-9 05,354
2021-12-9 06,735
2021-12-9 07,2206
2021-12-9 08,4906
2021-12-9 09,6222
2021-12-9 10,6576
2021-12-9 11,6806
2021-12-9 12,6916
2021-12-9 13,7260
2021-12-9 14,7323
2021-12-9 15,7873
2021-12-9 16,8146
2021-12-9 17,7699
2021-12-9 18,8600
2021-12-9 19,9428
2021-12-9 20,8689
2021-12-9 21,7756
2021-12-9 22,7692
2021-12-9 23,7324
2022-1-1 00,2830
2022-1-1 01,4147
2022-1-1 02,4650
2022-1-1 03,3630
2022-1-1 04,2555
2022-1-1 05,1581
2022-1-1 06,792
2022-1-1 07,603
2022-1-1 08,808
2022-1-1 09,818
2022-1-1 10,1226
2022-1-1 11,1786
2022-1-1 12,2289
2022-1-1 13,2877
2022-1-1 14,3128
2022-1-1 15,3265
2022-1-1 16,3509
2022-1-1 17,3560
2022-1-1 18,3591
